iter	Passed	Remaining
874	5262	751
875	5267	745
876	5273	739
877	5278	733
878	5284	727
879	5289	721
880	5295	715
881	5301	709
882	5307	703
883	5311	697
884	5316	690
885	5322	684
886	5327	678
887	5332	672
888	5337	666
889	5342	660
890	5347	654
891	5352	648
892	5356	641
893	5362	635
894	5367	629
895	5372	623
896	5377	617
897	5382	611
898	5387	605
899	5392	599
900	5397	593
901	5404	587
902	5409	581
903	5414	574
904	5418	568
905	5423	562
906	5427	556
907	5433	550
908	5437	544
909	5442	538
910	5447	532
911	5452	526
912	5456	519
913	5461	513
914	5466	507
915	5470	501
916	5475	495
917	5480	489
918	5484	483
919	5489	477
920	5494	471
921	5499	465
922	5504	459
923	5509	453
924	5513	447
925	5518	441
926	5523	434
927	5528	428
928	5533	422
929	5537	416
930	5543	410
931	5547	404
932	5552	398
933	5557	392
934	5562	386
935	5567	380
936	5572	374
937	5577	368
938	5582	362
939	5587	356
940	5592	350
941	5597	344
942	5603	338
943	5608	332
944	5613	326
945	5619	320
946	5625	314
947	5630	308
948	5635	302
949	5641	296
950	5646	290
951	5652	284
952	5657	279
953	5663	273
954	5669	267
955	5674	261
956	5681	255
957	5687	249
958	5692	243
959	5697	237
960	5703	231
961	5708	225
962	5713	219
963	5720	213
964	5726	207
965	5732	201
966	5737	195
967	5744	189
968	5751	183
969	5756	178
970	5761	172
971	5768	166
972	5776	160
973	5784	154
974	5790	148
975	5796	142
976	5801	136
977	5807	130
978	5813	124
979	5818	118
980	5823	112
981	5828	106
982	5834	100
983	5839	94
984	5845	89
985	5850	83
986	5855	77
987	5861	71
988	5866	65
989	5871	59
990	5876	53
991	5882	47
992	5887	41
993	5893	35
994	5898	29
995	5903	23
996	5910	17
997	5915	11
998	5920	5
999	5926	0
